rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.0594527511727,82.68870848979046,688008,澜起科技,bottom_area,2024-10-15,65.0,2024-10-14,63.16,2.913236225459157,8.027232425585826,27.477322310253765,True,-2.8836,4.3498,3,3,3,100.0,34.8434789453621,62.20095693779905,12.086763774540843,2.913236225459157,历史3/3次成功; 当前距低点2.91%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
12,78.87881431453364,71.98472797778848,301568,思泰克,bottom_area,2024-10-15,33.7,2024-10-14,32.85,2.587519025875195,9.467275494672753,27.25863596102745,True,-4.7215,20.0872,1,1,1,100.0,16.85092127303183,16.85092127303183,12.412480974124804,2.587519025875195,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-4.72%; 状态bottom_area; 底部已确认
13,75.93426870731938,69.48350583695068,688315,诺禾致源,bottom_area,2024-10-15,11.66,2024-10-14,11.35,2.731277533039652,8.01762114537445,27.70700636942675,True,-3.5567,0.9655,3,5,3,60.0,41.83235813054352,86.2826357231662,12.268722466960346,2.731277533039652,历史3/5次成功; 当前距低点2.73%; 最新日涨幅-3.56%; 状态bottom_area; 底部已确认
14,74.99437424338997,66.10127812897953,688337,普源精电,bottom_area,2024-10-15,30.59,2024-10-14,30.37,0.7243990780375332,7.606190319394135,27.17026378896883,True,-5.2941,3.0736,3,5,3,60.0,38.886602295188766,54.46153846153845,14.275600921962466,0.7243990780375332,历史3/5次成功; 当前距低点0.72%; 最新日涨幅-5.29%; 状态bottom_area; 底部已确认
15,74.40937905767227,70.4502136572001,300560,中富通,bottom_area,2024-10-15,14.44,2024-10-11,13.81,4.5619116582186745,10.644460535843583,27.277514481305943,True,-2.6954,7.6986,3,4,3,75.0,26.75468945128323,41.47727272727274,10.438088341781325,4.5619116582186745,历史3/4次成功; 当前距低点4.56%; 最新日涨幅-2.70%; 状态bottom_area; 底部已确认
16,73.27279868450854,69.24310486401734,688017,绿的谐波,bottom_area,2024-10-15,81.5,2024-10-14,78.02,4.460394770571654,10.228146629069474,31.543388611037997,True,-2.5003,3.3024,3,4,3,75.0,19.02045667161674,22.08643815201191,10.539605229428345,4.460394770571654,历史3/4次成功; 当前距低点4.46%; 最新日涨幅-2.50%; 状态bottom_area; 底部已确认
17,73.08670966994556,68.64222516801281,688255,凯尔达,bottom_area,2024-10-15,20.68,2024-10-11,19.86,4.128902316213496,9.214501510574028,27.834302325581394,True,-3.1382,2.1768,1,1,1,100.0,17.774851876234372,17.774851876234372,10.871097683786504,4.128902316213496,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-3.14%; 状态bottom_area; 底部已确认
18,72.78626219232778,65.750914356213,688047,龙芯中科,bottom_area,2024-10-15,124.0,2024-10-14,121.52,2.0408163265306154,7.455562870309428,28.043581241117955,True,-2.6917,1.8719,2,4,2,50.0,24.752556885498926,33.20076594491089,12.959183673469385,2.0408163265306154,历史2/4次成功; 当前距低点2.04%; 最新日涨幅-2.69%; 状态bottom_area; 底部已确认
19,72.63229977571164,64.5432338308458,000430,张家界,bottom_area,2024-10-15,6.1,2024-10-14,6.03,1.1608623548921955,3.316749585406305,27.349397590361452,False,-1.7713,3.8622,1,2,1,50.0,53.99999999999999,53.99999999999999,13.839137645107805,1.1608623548921955,历史1/2次成功; 当前距低点1.16%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
20,71.91543771317481,66.70363554845564,688308,欧科亿,bottom_area,2024-10-15,17.95,2024-10-14,17.35,3.458213256484137,7.146974063400567,30.09669621273166,True,-2.973,1.2229,2,3,2,66.66666666666666,27.8048124009291,40.26548672566372,11.541786743515862,3.458213256484137,历史2/3次成功; 当前距低点3.46%; 最新日涨幅-2.97%; 状态bottom_area; 底部已确认
21,71.07589398484899,64.49665891272505,688148,芳源股份,bottom_area,2024-10-15,4.48,2024-10-14,4.38,2.2831050228310628,6.164383561643846,27.0,False,-3.0303,1.6641,2,3,2,66.66666666666666,20.943396226415096,26.66666666666668,12.716894977168936,2.2831050228310628,历史2/3次成功; 当前距低点2.28%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
22,70.05638205878897,61.39833094541815,688117,圣诺生物,bottom_area,2024-10-15,26.32,2024-10-14,26.21,0.4196871423120924,5.036245707745136,29.123850730124385,False,-3.766,2.1687,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,14.580312857687908,0.4196871423120924,历史2/3次成功; 当前距低点0.42%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
23,67.49170271498771,62.958944256604084,301499,维科精密,bottom_area,2024-10-15,26.46,2024-10-14,25.5,3.7647058823529442,8.78431372549019,29.166666666666668,True,-3.6066,13.0989,2,3,2,66.66666666666666,21.64412366506522,21.950454687989964,11.235294117647054,3.7647058823529442,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-3.61%; 状态bottom_area; 底部已确认
24,66.74821944418572,60.1737203746604,688331,荣昌生物,bottom_area,2024-10-15,30.08,2024-10-14,29.51,1.9315486275838587,7.760081328363263,29.721362229102166,True,-2.4327,1.9255,1,2,1,50.0,26.761565836298917,26.761565836298917,13.06845137241614,1.9315486275838587,历史1/2次成功; 当前距低点1.93%; 最新日涨幅-2.43%; 状态bottom_area; 底部已确认
25,63.111924189774804,59.27016544686396,688107,安路科技,bottom_area,2024-10-15,25.24,2024-10-14,24.24,4.125412541254125,10.396039603960409,30.74285714285715,True,-3.5168,2.4111,2,5,2,40.0,47.34465613399662,67.95615731785945,10.874587458745873,4.125412541254125,历史2/5次成功; 当前距低点4.13%; 最新日涨幅-3.52%; 状态bottom_area; 底部已确认
26,62.72170486320169,59.44530617766268,301360,荣旗科技,bottom_area,2024-10-15,51.21,2024-10-14,48.95,4.61695607763023,9.050051072522981,27.28758169934639,True,-1.6894,7.8903,2,4,2,50.0,22.42992491752477,23.857583403420236,10.383043922369769,4.61695607763023,历史2/4次成功; 当前距低点4.62%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
27,62.3156523220038,59.14616074827344,300713,英可瑞,bottom_area,2024-10-15,15.61,2024-10-11,14.91,4.694835680751169,9.993293091884631,27.23279648609077,True,-1.7621,7.2825,2,4,2,50.0,21.77626935691452,23.73271889400922,10.30516431924883,4.694835680751169,历史2/4次成功; 当前距低点4.69%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
28,62.218847073587234,58.286880200808724,688173,希荻微,bottom_area,2024-10-15,10.94,2024-10-14,10.52,3.9923954372623567,10.266159695817493,29.63210702341137,True,-3.0142,2.9529,3,6,3,50.0,18.7609774073489,23.120837297811605,11.007604562737642,3.9923954372623567,历史3/6次成功; 当前距低点3.99%; 最新日涨幅-3.01%; 状态bottom_area; 底部已确认
29,61.819862609943755,58.37528360897236,688320,禾川科技,bottom_area,2024-10-15,26.7,2024-10-14,25.57,4.419241298396555,9.307782557684781,30.440696409140365,True,-2.4479,2.7793,2,5,2,40.0,35.920181555465064,38.29133374308544,10.580758701603445,4.419241298396555,历史2/5次成功; 当前距低点4.42%; 最新日涨幅-2.45%; 状态bottom_area; 底部已确认
30,61.3744702972704,53.914174846852184,688062,迈威生物,bottom_area,2024-10-15,24.04,2024-10-15,23.91,0.5437055625261356,5.604349644500208,27.545454545454547,False,-4.3755,2.2237,1,2,1,50.0,35.34313725490197,35.34313725490197,14.456294437473863,0.5437055625261356,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
31,60.68302896192909,55.207453360451574,688348,昱能科技,bottom_area,2024-10-15,55.0,2024-10-14,53.7,2.4208566108007394,8.472998137802602,28.198957079823504,True,-3.863,4.938,1,2,1,50.0,16.27422813482398,16.27422813482398,12.57914338919926,2.4208566108007394,历史1/2次成功; 当前距低点2.42%; 最新日涨幅-3.86%; 状态bottom_area; 底部已确认
32,59.50358608213311,54.554770171898696,300769,德方纳米,bottom_area,2024-10-15,38.44,2024-10-11,37.38,2.835741037988216,11.3697164258962,29.471698113207545,True,-3.5141,11.5089,2,7,2,28.57142857142857,30.946096904441454,41.300000000000004,12.164258962011782,2.835741037988216,历史2/7次成功; 当前距低点2.84%; 最新日涨幅-3.51%; 状态bottom_area; 底部已确认
33,58.12757476421239,52.23210369250098,300347,泰格医药,bottom_area,2024-10-15,61.38,2024-10-14,60.32,1.7572944297082265,6.92970822281167,27.140959053025732,False,-3.8233,2.3423,1,3,1,33.33333333333333,20.78172934893761,20.78172934893761,13.242705570291774,1.7572944297082265,历史1/3次成功; 当前距低点1.76%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
34,57.88564191526831,52.797825939031014,688356,键凯科技,bottom_area,2024-10-15,56.52,2024-10-14,55.11,2.558519324986398,7.965886409000182,28.129890453834122,True,-2.4171,0.7564,1,4,1,25.0,15.625,15.625,12.4414806750136,2.558519324986398,历史1/4次成功; 当前距低点2.56%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
35,56.62830418710366,50.88521390827433,688202,美迪西,bottom_area,2024-10-15,33.0,2024-10-14,32.43,1.75763182238668,8.171446191797713,27.724537552930684,True,-4.5691,4.5067,1,6,1,16.666666666666664,23.795418261555337,23.795418261555337,13.24236817761332,1.75763182238668,历史1/6次成功; 当前距低点1.76%; 最新日涨幅-4.57%; 状态bottom_area; 底部已确认
36,55.45219318892183,51.57088776483849,300573,兴齐眼药,bottom_area,2024-10-15,88.89,2024-10-11,85.8,3.6013986013986052,9.615384615384617,32.80601456652831,True,-4.0893,8.4275,1,5,1,20.0,42.86062675283501,42.86062675283501,11.398601398601393,3.6013986013986052,历史1/5次成功; 当前距低点3.60%; 最新日涨幅-4.09%; 状态bottom_area; 底部已确认
37,54.597033216848104,48.13346614390021,688059,华锐精密,bottom_area,2024-10-15,49.25,2024-10-14,48.89,0.7363469012067896,5.338515033749232,31.140845070422536,False,-3.0893,1.9283,1,5,1,20.0,38.29213483146067,38.29213483146067,14.263653098793212,0.7363469012067896,历史1/5次成功; 当前距低点0.74%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
