rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.27104189557771,81.30343430165684,688237,超卓航科,confirmed_rebound,2025-12-02,46.0,2025-12-02,45.31,1.5228426395939034,8.585301258000442,27.48079385403328,False,-7.7232,5.2449,5,5,5,100.0,23.309223225435044,41.301843317972356,6.477157360406097,1.5228426395939034,历史5/5次成功; 当前距低点1.52%; 最新日涨幅-7.72%; 状态confirmed_rebound; 底部未确认
21,74.57266942100829,69.2277912761557,301177,迪阿股份,bottom_area,2025-12-02,29.79,2025-12-02,29.75,0.13445378151260218,3.1932773109243673,27.913738793312337,False,-2.2958,0.2962,1,1,1,100.0,10.776053215077603,10.776053215077603,7.865546218487399,0.13445378151260218,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
22,74.37324570893448,75.61397724801134,002213,大为股份,confirmed_rebound,2025-12-02,27.4,2025-11-28,26.13,4.860313815537695,8.687332567929582,28.68449781659389,True,-1.4743,12.8343,4,4,4,100.0,14.223079287297208,20.248254460822338,3.139686184462305,4.860313815537695,历史4/4次成功; 当前距低点4.86%; 最新日涨幅-1.47%; 状态confirmed_rebound; 底部已确认
23,74.256562863634,69.57614094636105,301291,明阳电气,bottom_area,2025-12-02,40.85,2025-11-24,40.6,0.6157635467980295,4.926108374384236,27.0440251572327,False,-2.4827,2.8387,1,1,1,100.0,18.54882705946537,18.54882705946537,7.38423645320197,0.6157635467980295,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
24,73.04776991878774,72.57964659703036,603197,保隆科技,bottom_area,2025-12-02,35.35,2025-11-21,34.1,3.6656891495601167,4.516129032258062,27.431368376250266,False,-0.254,0.7217,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,4.334310850439883,3.6656891495601167,历史5/6次成功; 当前距低点3.67%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
25,72.59674885107758,71.8274591565287,003038,鑫铂股份,bottom_area,2025-12-02,15.91,2025-11-24,15.38,3.4460338101430383,5.7867360208062335,28.76331635016211,False,-1.1801,1.6438,1,1,1,100.0,25.507614213197975,25.507614213197975,4.553966189856961,3.4460338101430383,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
26,72.50732334919796,70.65913176537433,603938,三孚股份,confirmed_rebound,2025-12-02,17.77,2025-11-21,17.31,2.657423454650496,8.08781051415368,27.45180217937972,False,-0.7263,1.5186,1,1,1,100.0,19.774501300954046,19.774501300954046,5.342576545349504,2.657423454650496,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-0.73%; 状态confirmed_rebound; 底部未确认
27,70.65590446864735,68.26409483023461,002017,东信和平,bottom_area,2025-12-02,21.28,2025-11-24,20.82,2.2094140249759886,5.523535062439954,27.88361621059924,False,-2.6532,2.0248,2,3,2,66.66666666666666,30.080065271576377,50.390015600624025,5.790585975024012,2.2094140249759886,历史2/3次成功; 当前距低点2.21%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
28,69.41803949185045,70.25424876479481,688027,国盾量子,confirmed_rebound,2025-12-02,443.6,2025-11-24,424.0,4.622641509433968,10.584905660377357,30.491803278688522,True,-2.0751,2.8939,4,5,4,80.0,25.827265625291705,54.833310085088584,3.3773584905660328,4.622641509433968,历史4/5次成功; 当前距低点4.62%; 最新日涨幅-2.08%; 状态confirmed_rebound; 底部已确认
29,68.27393613108177,68.68063378216338,688665,四方光电,bottom_area,2025-12-02,47.69,2025-11-21,45.72,4.308836395450566,5.599300087489069,27.715415019762844,False,-1.0581,0.5286,1,1,1,100.0,19.16548797736917,19.16548797736917,3.691163604549434,4.308836395450566,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
30,68.08260794595334,63.74776024901998,000002,万科A,bottom_area,2025-12-02,5.2,2025-12-01,5.17,0.5802707930367553,3.2882011605415844,27.591036414565824,False,0.0,1.7361,2,4,2,50.0,22.638589554536463,28.255902513328245,7.419729206963245,0.5802707930367553,历史2/4次成功; 当前距低点0.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
31,66.17797360792827,61.72792970238734,688348,昱能科技,bottom_area,2025-12-02,52.6,2025-12-02,52.4,0.38167938931298256,2.8625954198473282,27.504150525733262,False,-2.4481,1.1255,2,3,2,66.66666666666666,12.37361313631329,16.27422813482398,7.618320610687018,0.38167938931298256,历史2/3次成功; 当前距低点0.38%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
32,61.07089622160555,62.22507092423245,002706,良信股份,bottom_area,2025-12-02,9.92,2025-11-24,9.45,4.973544973544981,5.925925925925932,27.083333333333343,False,-0.5015,1.3561,4,6,4,66.66666666666666,14.828423641120084,19.37406855439642,3.026455026455019,4.973544973544981,历史4/6次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
33,54.64049650979754,53.75476459320496,002468,申通快递,bottom_area,2025-12-02,14.08,2025-11-21,13.65,3.150183150183148,6.2271062271062245,31.988041853512705,False,-1.676,0.8056,1,2,1,50.0,16.382699868938413,16.382699868938413,4.849816849816852,3.150183150183148,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
