rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.21712476455642,85.35344635468354,300705,九典制药,bottom_area,2025-12-30,15.14,2025-12-30,14.98,1.0680907877169568,1.1348464619492653,27.49273959341723,False,0.3979,1.3581,2,2,2,100.0,29.939211562786006,41.42097631706138,13.931909212283042,1.0680907877169568,历史2/2次成功; 当前距低点1.07%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
14,66.97764937755962,60.39345790575095,001330,博纳影业,bottom_area,2025-12-30,7.87,2025-12-29,7.72,1.9430051813471552,4.533678756476691,29.62625341841386,False,1.943,10.5306,1,4,1,25.0,35.637149028077765,35.637149028077765,13.056994818652845,1.9430051813471552,历史1/4次成功; 当前距低点1.94%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
15,66.40482622548777,58.409179409922196,600250,南京商旅,bottom_area,2025-12-30,11.48,2025-12-30,11.41,0.6134969325153399,2.5416301489921045,29.042288557213926,False,-2.1313,5.8898,3,7,3,42.857142857142854,32.29313894961615,53.93258426966293,14.38650306748466,0.6134969325153399,历史3/7次成功; 当前距低点0.61%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
16,65.81071211269635,61.45091155203899,002317,众生药业,bottom_area,2025-12-30,19.31,2025-12-23,18.6,3.817204301075254,9.408602150537634,31.617647058823522,True,-1.1771,4.1301,2,5,2,40.0,45.076007303712714,58.31999999999999,11.182795698924746,3.817204301075254,历史2/5次成功; 当前距低点3.82%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
17,65.53379559255931,58.378800410116185,002728,特一药业,bottom_area,2025-12-30,10.97,2025-12-30,10.83,1.2927054478301068,2.585410895660197,28.039867109634553,False,-0.724,6.4135,1,4,1,25.0,39.3073593073593,39.3073593073593,13.707294552169893,1.2927054478301068,历史1/4次成功; 当前距低点1.29%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
18,65.42708131095894,61.32056831377515,002679,福建金森,bottom_area,2025-12-30,12.17,2025-12-18,11.7,4.017094017094023,9.487179487179498,28.308823529411768,True,-1.2976,2.8098,2,4,2,50.0,25.158831573922193,33.50951374207188,10.982905982905978,4.017094017094023,历史2/4次成功; 当前距低点4.02%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
19,65.24772851592789,62.06339753739463,688337,普源精电,bottom_area,2025-12-30,37.47,2025-12-04,35.75,4.811188811188808,7.384615384615387,28.499999999999996,True,-0.0267,0.6437,3,6,3,50.0,38.886602295188766,54.46153846153845,10.188811188811192,4.811188811188808,历史3/6次成功; 当前距低点4.81%; 最新日涨幅-0.03%; 状态bottom_area; 底部已确认
20,64.82375831837136,59.05136210749864,600161,天坛生物,bottom_area,2025-12-30,16.46,2025-12-24,16.06,2.4906600249066138,4.794520547945203,27.264492753623188,False,-0.7836,0.2709,1,2,1,50.0,36.77455357142857,36.77455357142857,12.509339975093386,2.4906600249066138,历史1/2次成功; 当前距低点2.49%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
21,64.58659434629779,60.13218004594416,002632,道明光学,bottom_area,2025-12-30,12.46,2025-12-19,12.02,3.6605657237936877,7.071547420965056,27.28372655777375,True,1.5485,5.6187,1,2,1,50.0,25.259515570934255,25.259515570934255,11.339434276206312,3.6605657237936877,历史1/2次成功; 当前距低点3.66%; 最新日涨幅1.55%; 状态bottom_area; 底部已确认
22,63.891351772146706,60.34203827322382,603038,华立股份,bottom_area,2025-12-30,16.27,2025-12-17,15.58,4.428754813863925,11.360718870346608,29.661399548532724,True,-1.9289,5.2896,2,4,2,50.0,24.944081982976137,28.753412192902637,10.571245186136075,4.428754813863925,历史2/4次成功; 当前距低点4.43%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
23,57.24880832418332,54.06147079521464,600104,上汽集团,bottom_area,2025-12-30,15.35,2025-11-21,14.7,4.421768707482996,8.299319727891161,28.74454677653902,True,-0.1301,0.2702,1,2,1,50.0,24.425287356321842,24.425287356321842,10.578231292517003,4.421768707482996,历史1/2次成功; 当前距低点4.42%; 最新日涨幅-0.13%; 状态bottom_area; 底部已确认
24,55.98406795588506,52.40531986531987,601162,天风证券,bottom_area,2025-12-30,4.21,2025-12-17,4.05,3.9506172839506206,6.419753086419748,27.678571428571423,False,-0.4728,1.3834,1,2,1,50.0,18.939393939393938,18.939393939393938,11.04938271604938,3.9506172839506206,历史1/2次成功; 当前距低点3.95%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
25,50.61531592805816,47.36031168831166,002605,姚记科技,bottom_area,2025-12-30,23.28,2025-12-17,22.4,3.9285714285714404,6.517857142857148,27.71861890932559,False,-0.0858,1.1561,1,5,1,20.0,23.2121212121212,23.2121212121212,11.07142857142856,3.9285714285714404,历史1/5次成功; 当前距低点3.93%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
