rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.9368528461624,80.60170212765956,605005,合兴股份,bottom_area,2025-06-12,19.1,2025-06-12,18.8,1.5957446808510676,2.3404255319148812,29.349868470499807,False,-0.5208,1.9697,1,1,1,100.0,96.96521095484826,96.96521095484826,18.40425531914893,1.5957446808510676,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
12,82.00597764079433,69.45197612541347,000096,广聚能源,bottom_area,2025-06-12,13.72,2025-06-10,13.6,0.8823529411764779,2.426470588235295,29.166666666666668,False,-0.8671,1.6612,1,1,1,100.0,21.149144254278735,21.149144254278735,19.117647058823522,0.8823529411764779,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
13,76.25967234107185,66.08266147101418,002819,东方中科,bottom_area,2025-06-12,28.22,2025-06-10,27.63,2.1353601158161415,5.501266739051754,32.21295387634936,False,0.1064,2.3251,2,5,2,40.0,36.08216416706984,51.677148846960186,17.86463988418386,2.1353601158161415,历史2/5次成功; 当前距低点2.14%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
14,74.8977730684914,63.58045251994178,688135,利扬芯片,bottom_area,2025-06-12,19.0,2025-05-30,18.81,1.010101010101017,5.901116427432234,27.290297642056444,False,-0.5756,1.575,2,5,2,40.0,31.309047435333802,40.41850220264317,18.989898989898986,1.010101010101017,历史2/5次成功; 当前距低点1.01%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
15,74.8622362343771,66.07581116542616,000715,中兴商业,bottom_area,2025-06-12,5.58,2025-06-03,5.41,3.142329020332716,6.099815157116452,28.815789473684205,False,0.3597,1.9354,2,4,2,50.0,26.722157697767457,29.105691056910565,16.857670979667287,3.142329020332716,历史2/4次成功; 当前距低点3.14%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
16,72.84581788779546,65.25046396981324,688318,财富趋势,bottom_area,2025-06-12,100.53,2025-06-06,96.71,3.9499534691345337,8.458277323958233,30.906622847753095,True,-0.8482,1.2876,4,7,4,57.14285714285714,29.988099198218027,36.949152542372886,16.050046530865465,3.9499534691345337,历史4/7次成功; 当前距低点3.95%; 最新日涨幅-0.85%; 状态bottom_area; 底部已确认
17,68.53479444189607,60.27990323460885,300819,聚杰微纤,bottom_area,2025-06-12,21.98,2025-06-10,21.35,2.950819672131143,7.119437939110068,31.12903225806451,False,0.3195,2.1867,1,2,1,50.0,26.54716175842936,26.54716175842936,17.049180327868857,2.950819672131143,历史1/2次成功; 当前距低点2.95%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
18,68.50097270580201,58.688552948998385,002136,安纳达,bottom_area,2025-06-12,10.73,2025-06-10,10.57,1.5137180700094621,3.689687795648066,29.297658862876247,False,-0.7401,3.7105,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,18.48628192999054,1.5137180700094621,历史1/3次成功; 当前距低点1.51%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
19,67.40125577236033,59.478549821590235,001311,多利科技,bottom_area,2025-06-12,20.42,2025-06-10,19.8,3.1313131313131364,4.191919191919183,31.794695142955565,False,-0.0978,2.4044,1,2,1,50.0,46.9244288224956,46.9244288224956,16.868686868686865,3.1313131313131364,历史1/2次成功; 当前距低点3.13%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
20,67.15217307871926,59.61062065364441,002042,华孚时尚,bottom_area,2025-06-12,4.79,2025-06-03,4.63,3.4557235421166337,9.935205183585312,28.549382716049386,True,-0.6224,1.217,1,2,1,50.0,42.41758241758243,42.41758241758243,16.544276457883367,3.4557235421166337,历史1/2次成功; 当前距低点3.46%; 最新日涨幅-0.62%; 状态bottom_area; 底部已确认
21,66.1100394951427,57.19735870149596,002041,登海种业,bottom_area,2025-06-12,9.96,2025-06-03,9.76,2.0491803278688634,6.249999999999995,28.023598820059004,False,-1.3861,1.014,1,2,1,50.0,21.395106715252467,21.395106715252467,17.95081967213114,2.0491803278688634,历史1/2次成功; 当前距低点2.05%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
22,55.5587980869324,49.76529599249637,603192,汇得科技,bottom_area,2025-06-12,21.32,2025-06-05,20.51,3.9492930277913145,6.77718186250608,31.610536845615194,False,-1.6605,3.5232,1,4,1,25.0,25.562817719680464,25.562817719680464,16.050706972208687,3.9492930277913145,历史1/4次成功; 当前距低点3.95%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
