rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.6896548141504,83.90808903401081,688347,华虹公司,bottom_area,2025-09-10,68.3,2025-09-10,67.19,1.6520315523143319,3.4380116088703714,28.46039182282794,False,1.4859,4.7422,1,1,1,100.0,45.99312351229833,45.99312351229833,18.34796844768567,1.6520315523143319,历史1/1次成功; 当前距低点1.65%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
2,94.36207668433163,81.05528131530444,300645,正元智慧,bottom_area,2025-09-10,18.42,2025-09-05,18.12,1.6556291390728517,4.74613686534216,27.3164861612515,False,0.8762,3.7147,1,1,1,100.0,30.699547055863096,30.699547055863096,18.34437086092715,1.6556291390728517,历史1/1次成功; 当前距低点1.66%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
3,90.83033802540903,78.96537313432835,301009,可靠股份,bottom_area,2025-09-10,13.71,2025-09-05,13.4,2.3134328358208993,5.522388059701494,27.762803234501348,False,-1.3669,3.4276,1,1,1,100.0,53.96648044692738,53.96648044692738,17.686567164179102,2.3134328358208993,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
4,90.46843805954958,78.70573272943733,300192,科德教育,bottom_area,2025-09-10,19.15,2025-09-09,18.71,2.3516835916622005,5.184393372528054,32.649388048956084,False,2.1878,7.3446,1,1,1,100.0,26.599845797995382,26.599845797995382,17.6483164083378,2.3516835916622005,历史1/1次成功; 当前距低点2.35%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
5,89.2508438845371,77.65487770183945,688552,航天南湖,bottom_area,2025-09-10,33.43,2025-09-04,32.66,2.3576240048989687,9.920391916717705,28.860814637333913,False,1.4568,4.3248,1,1,1,100.0,21.02290555381236,21.02290555381236,17.642375995101034,2.3576240048989687,历史1/1次成功; 当前距低点2.36%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
6,89.22390725777278,80.50868172899112,688448,磁谷科技,bottom_area,2025-09-10,45.08,2025-09-09,43.2,4.3518518518518405,8.611111111111109,32.35202004384591,False,3.537,6.4618,2,2,2,100.0,44.14464489899632,63.23529411764706,15.648148148148161,4.3518518518518405,历史2/2次成功; 当前距低点4.35%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
7,82.33762407813622,72.6976317691427,300510,金冠股份,bottom_area,2025-09-10,4.57,2025-09-03,4.43,3.160270880361187,6.997742663656896,30.01579778830964,False,-0.8677,3.8915,3,4,3,75.0,30.849727829925854,40.000000000000014,16.839729119638815,3.160270880361187,历史3/4次成功; 当前距低点3.16%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
8,80.06690298163073,68.25041348306945,688221,前沿生物,bottom_area,2025-09-10,14.74,2025-09-09,14.56,1.2362637362637343,6.593406593406587,28.90625,False,0.2721,3.1443,3,7,3,42.857142857142854,30.52508725979674,34.87394957983194,18.763736263736266,1.2362637362637343,历史3/7次成功; 当前距低点1.24%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
9,74.19738910396782,65.6992679190742,000561,烽火电子,bottom_area,2025-09-10,11.21,2025-09-04,10.85,3.317972350230426,6.267281105990781,32.60869565217392,False,1.448,2.2981,2,4,2,50.0,26.85077891182564,31.050955414012744,16.682027649769577,3.317972350230426,历史2/4次成功; 当前距低点3.32%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
10,73.9735421358728,63.92722242618376,002265,建设工业,bottom_area,2025-09-10,29.78,2025-09-09,29.2,1.98630136986302,4.17808219178083,28.780487804878053,False,1.2925,4.523,2,6,2,33.33333333333333,37.111054925473766,41.46981627296587,18.013698630136982,1.98630136986302,历史2/6次成功; 当前距低点1.99%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
11,73.84162440272107,66.06232283521032,603109,神驰机电,bottom_area,2025-09-10,31.03,2025-09-04,29.87,3.8834951456310685,8.77134248409776,27.79792119893642,True,-1.3355,2.3299,3,5,3,60.0,27.347805200264215,33.71428571428571,16.116504854368934,3.8834951456310685,历史3/5次成功; 当前距低点3.88%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
